Country,Activity,Location,Sex,Fatal Y/N,Species,Type
USA,Surfing related,"Pua’ena Point,  Haleiwa, Oahu",M,No,8' tiger shark,Unprovoked
Mexico,Fishing related,Banco Chinchorro Biosphere Reserve,M,No,,Provoked
AUSTRALIA,Fishing related,"Alexander Bay, Esperance",M,No,"Bronze whaler, 6'",Watercraft
BELIZE,Diving related,"San Pedro , Ambergris Caye",F,No,"Nurse shark, 5' to 6'",Unprovoked
USA,Surfing related,"Hanalei Bay, Kauai",M,No,10' tiger shark,Unprovoked
USA,Surfing related,"Linda Mar, Pacific State Beach, San Mateo County",M,No,,Unprovoked
USA,Surfing related,"Paia, Maui",F,No,10' to 12' Galapagos shark,Unprovoked
AUSTRALIA,Swimming related,Beachport,F,No,,Unprovoked
USA,Swimming related,"Wildcat Beach, Marin County",M,Yes,,Unprovoked
USA,Swimming related,"Myrtle Beach, Horry County",M,No,,Unprovoked
EGYPT,Swimming related,Dahab,F,No,Tiger shark?,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,,Questionable
USA,Surfing related,"Satellite Beach, Brevard County",M,No,,Unprovoked
PHILIPPINES,Fishing related,"Pangasinan, Ilocos Norte, Luzon Island",M,Unknown,,Unprovoked
Coral Sea,Other,,M,No,Cookiecutter sharks,Watercraft
USA,Surfing related,"Ponce Inlet, Volusia County",M,No,,Unprovoked
USA,Swimming related,"Ponce Inlet, Volusia County",F,No,,Unprovoked
AUSTRALIA,Surfing related,"Lighthouse Beach, Port Macquarie ",M,Unknown,"White shark, 3.8-4.2m",Unprovoked
USA,Swimming related,"Oak Island, Brunswick County",Unknown,No,,Unprovoked
USA,Fishing related,"Pebble Beach, San Mateo County",M,No,,Watercraft
BAHAMAS,unknown,"Saunders Beach, Nassau",M,Unknown,,Questionable
SPAIN,Swimming related,Rabdells Beach,M,No,Blue shark,Unprovoked
PORTUGAL,Fishing related, 9 nm off Vila do Conde ,M,No,Blue shark,Provoked
SAMOA,Other,Lano,M,Yes,,Unprovoked
USA,Swimming related,Rockaway,F,No,,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,,Unprovoked
USA,Fishing related,"Anna Maria Island, Manatee County",M,No,,Unprovoked
USA,Swimming related,Tampa Bay,F,No,,Unprovoked
AUSTRALIA,Surfing related,Gnarabup Beach ,M,No,Wfite shark,Unprovoked
AUSTRALIA,Diving related,Yallingup Lagoon,M,No,Wobbegong shark,Unprovoked
USA,Surfing related,"Sea Pines Beach, Hilton Head Island, Beaufort County",M,No,8' shark,Unprovoked
COLOMBIA,Diving related,Nirvana,M,No,Oceanic whitetip shark,Unprovoked
USA,Other,New Smyrna Beach,M,No,,Unprovoked
USA,Surfing related,New Smyrna Beach,M,No,,Unprovoked
SOUTH AFRICA,Other,Chinta East ,Unknown,No,,Watercraft
ECUADOR,Diving related,Mosquera Islet,F,No,,Unprovoked
USA,Swimming related,"Cherry Grove, Suffolk County",F,No,4' shark,Unprovoked
USA,Swimming related,"Fire Island Pines, Suffolk County",M,No,3' shark,Unprovoked
USA,Swimming related,"Quogue Village Beach, Suffolk County",M,No,,Unprovoked
USA,Surfing related,"Kismet Beach, Suffolk County",M,No,,Unprovoked
USA,Swimming related,"Beach 3, Robert Moses State Park, Suffolk County",F,No,Sand tiger shark,Unprovoked
USA,Swimming related,"Cocoa Beach, Brevard County",F,No,,Unprovoked
USA,Fishing related,"Flamingo Marina, Homestead, Miami-Dade County",M,No,,Unprovoked
USA,Other,Laysan,M,No,Tiger sharks,Unprovoked
EGYPT,Swimming related,"Dream Beach, Hurguda",M,Yes,"Tiger shark, 13'",Unprovoked
BAHAMAS,Diving related,Shark Junction,F,Unknown,Caribbean rreef shark,Unprovoked
FRENCH POLYNESIA,Surfing related,"Matavai Bay, Arue, Papetee",F,No,"Grey reef shark, 2 m",Unprovoked
NEW CALEDONIA,Fishing related,Twagne,M,Yes,,Unprovoked
TURKS and CaICOS,Diving related,Grace Bay Beach,F,No,Caribbean reef shark,Unprovoked
BAHAMAS,Other,Athol Island,M,Yes,Shark involvement not confirmes,Questionable
USA,Other,Sea Quest Aquarium Layton Davis County,F,No,"18"" - 23"" Horn shark",Provoked
USA,Surfing related,"Stone Harbor, Cape May County",F,No,,Unprovoked
USA,Fishing related,"Flagship Drive, Summerland Key, Monroe County",M,No,,Provoked
USA,Fishing related,"Marathon, Monroe County",M,No,,Unprovoked
USA,Swimming related,"Isle of Palms, Charleston County",F,No,,Unprovoked
AUSTRALIA,Surfing related,Elliston,M,Yes,White shark,Unprovoked
USA,Other,"Fort Pierce, St. Lucie County",F,No,"Bull shark, 4'",Unprovoked
USA,Fishing related,"Kualoa, Oahu",M,No,Tiger shark,Provoked
CUBA,Fishing related,Puerto Escondido,M,Yes,Bull shark, Provoked
USA,Fishing related,"Davis Reef, Islamorada, Monroe County",M,No,,Unprovoked
SOUTH AFRICA,Surfing related,"Supertubes, Jeffreys Bay",M,No,,Unprovoked
SOUTH AFRICA,Diving related,Mngcibe Beach,M,No,,Unprovoked
AUSTRALIA,Swimming related,"Yallingup, Busselton",M,No,1m shark,Unprovoked
AUSTRALIA,Diving related,"Kurrajong Campground, Exnouth",M,No,,Unprovoked
USA,Fishing related,"Anna Maria Island, Manatee County",M,No,"Bull shark, 6'",Unprovoked
AUSTRALIA,Surfing related,Lucy's Beach,M,No,"Bronze whaler shark, 1.5 m",Unprovoked
USA,Surfing related,"Virginia Key, Monroe County",F,No,,Unprovoked
USA,Fishing related,Off Boca Raton. Palm Beach County,M,No,,Watercraft
USA,Surfing related,"Kewalos, Oahu",M,No,"Tiger shark, 8'-10'",Unprovoked
USA,Surfing related,"Blue Fish Channel, Key West, Monroe County",M,No,,Unprovoked
CUBA,Fishing related,Playa Majana ,M,No,,Provoked
AUSTRALIA,Swimming related,Delta Island,M,No,,Unprovoked
USA,Swimming related,Anaehoomalu Bay,M,No,Blacktip reef shark 5',Unprovoked
MEXICO,Swimming related,Cancún,M,No,Authorities report injury caused bya barracuda,Questionable
AUSTRALIA,Surfing related,Cheynes Beach ,F,No,5m to 6m shark,Unprovoked
BRAZIL,Swimming related,Piedade Beach,F,No,,Unprovoked
BRAZIL,Swimming related,Piedade Beach,M,No,,Unprovoked
SEYCHELLES,Diving related,,M,Unknown,Lemon shark,Unprovoked
BRAZIL,Surfing related,Praia de Milagres,M,No,,Unprovoked
NEW CALEDONIA,Swimming related,"Château-Royal Beach , Noumea",M,Unknown,Bull shark,Unprovoked
USA,Surfing related,"Jupiter Island, Martin County",M,No,,Unprovoked
ARGENTINA,unknown,Chubut Province,M,Unknown,,Questionable
FIJI,Fishing related,Ura Estate,M,No,,Questionable
